country,central,local
United States,8.7,91.3
Costa Rica,100.0,0.0
New Zealand,100.0,0.0
Ireland,100.0,0.0
Türkiye,99.3,0.7
Netherlands,94.4,5.6
Hungary,94.1,5.9
Greece,94.0,6.0
Luxembourg,91.2,8.8
Slovenia,90.7,9.3
Croatia,88.9,11.1
Italy,86.7,13.3
Portugal,83.5,16.5
Romania,81.7,18.3
France,77.0,23.0
Chile,72.9,27.1
Israel,71.5,28.5
United Kingdom,65.2,34.8
Austria,58.4,41.6
Denmark,55.5,44.5
Estonia,48.2,51.8
Slovakia,40.3,59.7
Lithuania,40.1,59.9
Iceland,40.0,60.0
Peru,39.6,60.4
Bulgaria,36.9,63.1
Mexico,35.4,64.6
Norway,31.8,68.2
Latvia,31.1,68.9
Finland,31.0,69.0
Australia,30.6,69.4
Poland,28.0,72.0
Czechia,25.9,74.1
Belgium,21.1,78.9
Brazil,19.7,80.3
Japan,15.9,84.1
"Korea, Republic of",14.1,85.9
Spain,9.0,91.0
Canada,8.0,92.0
Germany,6.0,94.0
Switzerland,5.0,95.0
